"notice_id","posted_date","response_deadline","notice_type","recommended_action","set_aside","naics","agency","office","place_of_performance_state","title","active","sam_gov_link","description"
"5fef1fc290f64293a7b98aee39afd07a","2026-08-14","2026-08-21","Presolicitation","Track and prepare","Small Business Set Aside - Total","541611","HOMELAND SECURITY, DEPARTMENT OF.US IMMIGRATION AND CUSTOMS ENFORCEMENT.CHIEF FINANCIAL OFFCER ADMINISTRATIVE SERVICES","Washington","","ODA Power Suite Analytics Tools Support","true","https://sam.gov/workspace/contract/opp/5fef1fc290f64293a7b98aee39afd07a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5fef1fc290f64293a7b98aee39afd07a"
"90bc093b6c464cba82b323c574445c70","2026-08-14","2026-08-24","Solicitation","Review for bid","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)","MILWAUKEE","","R499--On-site Survey Readiness Services (Mock Physical Environment  / Life Safety Survey)","true","https://sam.gov/workspace/contract/opp/90bc093b6c464cba82b323c574445c70/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=90bc093b6c464cba82b323c574445c70"
"97ce6b5f563144be8cde3d456e1d1367","2026-08-14","2026-08-24","Special Notice","Review notice","Small Business Set Aside - Total","541611","INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.NATIONAL INTERAGENCY FIRE CENTER","BOISE","","R--Special Notice of Intent to Solicit Directly from Suppliers IAW. RFO FAR 12.201","true","https://sam.gov/workspace/contract/opp/97ce6b5f563144be8cde3d456e1d1367/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=97ce6b5f563144be8cde3d456e1d1367"
"c59f03c9d1d54d1f8550dfbf8197cc72","2026-08-14","2026-09-02","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541430","DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW YORK.W2SD ENDIST NEW YORK","NEW YORK","","FY 26 - Graphic upgrades only for New Jersey and New York - Recruiting Stations","true","https://sam.gov/workspace/contract/opp/c59f03c9d1d54d1f8550dfbf8197cc72/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c59f03c9d1d54d1f8550dfbf8197cc72"
"d163d251cab94caea3a6c2d9bef9bcd5","2026-08-14","2026-08-20","Special Notice","Review notice","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY MEDICAL COMMAND.US ARMY HEALTH CONTRACTING ACTIVITY.W40M MRC0 WEST","JBSA FT SAM HOUSTON","","Emergency Medical Services Programs","true","https://sam.gov/workspace/contract/opp/d163d251cab94caea3a6c2d9bef9bcd5/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d163d251cab94caea3a6c2d9bef9bcd5"
"01b4887bdb104cef854d5b31e748e168","2026-08-13","2026-08-26","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.SCO ALEXANDRIA.ENGINEER CENTER SUPPORT ACT HUMPHREYS.W4LD USA HECSA","ALEXANDRIA","","Services to Support Update & Development of Enhancements to National Navigation Operation & Management Performance Evaluation & Assessment System (NNOMPEAS) FY 2026-2027","true","https://sam.gov/workspace/contract/opp/01b4887bdb104cef854d5b31e748e168/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=01b4887bdb104cef854d5b31e748e168"
"42d10c4e5467462a8839b37e5bae12e3","2026-08-13","2026-08-28","Solicitation","Review for bid","Small Business Set Aside - Total","541611","ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.NNSA NAVAL REACTORS LAB FLD OFFICE","WEST MIFFLIN","","TEPS III for NRLFO Audit I","true","https://sam.gov/workspace/contract/opp/42d10c4e5467462a8839b37e5bae12e3/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=42d10c4e5467462a8839b37e5bae12e3"
"c103739181434f818652918debf33152","2026-08-13","2026-08-28","Solicitation","Review for bid","Small Business Set Aside - Total","541611","ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.NNSA NAVAL REACTORS LAB FLD OFFICE","WEST MIFFLIN","","TEPS III for NRLFO Records Admin Assistant Service","true","https://sam.gov/workspace/contract/opp/c103739181434f818652918debf33152/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c103739181434f818652918debf33152"
"5d8e69ef0ada4e95bc3a5d4717add38c","2026-08-12","2026-09-03","Solicitation","Review for bid","Small Business Set Aside - Total","541618","DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.FDO EUSTIS.W6QM MICC-FDO FT EUSTIS","FORT EUSTIS","","FY26 TCS Watercraft Systems Integration Support","true","https://sam.gov/workspace/contract/opp/5d8e69ef0ada4e95bc3a5d4717add38c/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5d8e69ef0ada4e95bc3a5d4717add38c"
"a00daad59e41457ba7ad85dc1d80730d","2026-08-12","2026-08-27","Award Notice","Market intelligence","Small Business Set Aside - Total","541511","FEDERAL HOUSING FINANCE AGENCY.FEDERAL HOUSING FINANCE AGENCY.FEDERAL HOUSING FINANCE AGENCY, OBFM","WASHINGTON","","Mortgage Prepayment Reports","true","https://sam.gov/workspace/contract/opp/a00daad59e41457ba7ad85dc1d80730d/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a00daad59e41457ba7ad85dc1d80730d"
"e854f985306d4bc39336edb274accf0c","2026-08-11","2026-08-25","Presolicitation","Track and prepare","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)","MILWAUKEE","","R499--On-site Survey Readiness Services (Mock Physical Environment  / Life Safety Survey)","true","https://sam.gov/workspace/contract/opp/e854f985306d4bc39336edb274accf0c/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e854f985306d4bc39336edb274accf0c"
"c826817eb4aa4d46a0bf77a96e92be4a","2026-08-10","2026-08-21","Solicitation","Review for bid","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.DEFENSE HEALTH AGENCY (DHA).DEFENSE HEALTH AGENCY","FALLS CHURCH","","Hospital Communications Support","true","https://sam.gov/workspace/contract/opp/c826817eb4aa4d46a0bf77a96e92be4a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c826817eb4aa4d46a0bf77a96e92be4a"
"9a12e1b8263349739a7217c0a203b8b0","2026-08-07","2026-08-11","Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC SAN DIEGO.NAVSUP FLT LOG CTR  SAN DIEGO","SAN DIEGO","","DSpace Software Upgrades, Configuration, Maintenance Support at NPS","true","https://sam.gov/workspace/contract/opp/9a12e1b8263349739a7217c0a203b8b0/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9a12e1b8263349739a7217c0a203b8b0"
"32a9ee0c337845ffa1fb0e09369394d7","2026-08-06","2026-08-10","Special Notice","Review notice","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.WASHINGTON HEADQUARTERS SERVICES (WHS)","","","notice of Intent to Sole Source","true","https://sam.gov/workspace/contract/opp/32a9ee0c337845ffa1fb0e09369394d7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=32a9ee0c337845ffa1fb0e09369394d7"
"4e96b451b8c44bb0bba6f719dd0a4b0f","2026-08-06","2026-08-20","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.260-NETWORK CONTRACT OFFICE 20 (36C260)","VANCOUVER","","DA01--Software maintenance and support services for existing  MyPath tools in support of VA Puget Sound Healthcare System,  Seattle, WA","true","https://sam.gov/workspace/contract/opp/4e96b451b8c44bb0bba6f719dd0a4b0f/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4e96b451b8c44bb0bba6f719dd0a4b0f"
"5f19141a785f4aa5ac8333533b181be0","2026-08-06","2026-08-25","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC NORFOLK.NAVSUP FLT LOG CTR NORFOLK","NORFOLK","","Naval Information Warfighting Development Center Electronic Warfare Data IDIQ","true","https://sam.gov/workspace/contract/opp/5f19141a785f4aa5ac8333533b181be0/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5f19141a785f4aa5ac8333533b181be0"
"fc7458b1a98d4cb8825f8e6b431bcca7","2026-08-06","2026-08-20","Solicitation","Review for bid","Small Business Set Aside - Total","541511","COMMERCE, DEPARTMENT OF.NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION.DEPT OF COMMERCE NOAA","SEATTLE","","Senior C++ programmer to modify the COMPASS model","true","https://sam.gov/workspace/contract/opp/fc7458b1a98d4cb8825f8e6b431bcca7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fc7458b1a98d4cb8825f8e6b431bcca7"
"689b3b993af64e3b8469c01f874819fb","2026-08-05","2026-07-23","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541611","JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FAO","GRAND PRAIRIE","","Historical Medical Claims Data Analysis","true","https://sam.gov/workspace/contract/opp/689b3b993af64e3b8469c01f874819fb/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=689b3b993af64e3b8469c01f874819fb"
"198b2f71744344e5b74318e64cf759bd","2026-08-04","2026-08-09","Sources Sought","Respond with capability statement","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.0419 AQ HQ     CONTRACTING SUP","FORT BRAGG","","Staff Augmentation","true","https://sam.gov/workspace/contract/opp/198b2f71744344e5b74318e64cf759bd/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=198b2f71744344e5b74318e64cf759bd"
"8ae534e62e0642999ce852e2cb2fdece","2026-08-04","2026-09-01","Presolicitation","Track and prepare","Small Business Set Aside - Total","541611","HOMELAND SECURITY, DEPARTMENT OF.US IMMIGRATION AND CUSTOMS ENFORCEMENT.CHIEF FINANCIAL OFFCER ADMINISTRATIVE SERVICES","Washington","","Customer Service Operations","true","https://sam.gov/workspace/contract/opp/8ae534e62e0642999ce852e2cb2fdece/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8ae534e62e0642999ce852e2cb2fdece"
"91222a4efaeb4a2eb7cd5e79abbe4079","2026-08-04","2026-08-06","Combined Synopsis/Solicitation","Review for bid","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.MP-REGIONAL OFFICE","SACRAMENTO","","T--CGB-400 IMT GIS Technical Service Support","true","https://sam.gov/workspace/contract/opp/91222a4efaeb4a2eb7cd5e79abbe4079/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=91222a4efaeb4a2eb7cd5e79abbe4079"
"5b1f4bad02c24fccaed398229a5844c7","2026-08-03","2026-08-13","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541611","AGRICULTURE, DEPARTMENT OF.AGRICULTURAL RESEARCH SERVICE.USDA ARS AFM APD","BELTSVILLE","","Wastewater Treatment Plant Operational Support - NBAF","true","https://sam.gov/workspace/contract/opp/5b1f4bad02c24fccaed398229a5844c7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5b1f4bad02c24fccaed398229a5844c7"
"819f226c8dd24af09bd3b5e36b0bcdd7","2026-08-03","2026-08-13","Special Notice","Review notice","Service-Disabled Veteran-Owned Small Business (SDVOSB) Sole Source (FAR 19.14)","541511","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.255-NETWORK CONTRACT OFFICE 15 (36C255)","LEAVENWORTH","","Intent to Sole Source HL7 Interface","true","https://sam.gov/workspace/contract/opp/819f226c8dd24af09bd3b5e36b0bcdd7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=819f226c8dd24af09bd3b5e36b0bcdd7"
"c14a30d0c5fe4df98a4df82904e6182b","2026-08-03","2026-08-17","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541430","DEPT OF DEFENSE.DEPT OF THE AIR FORCE.PACIFIC AIR FORCES.FA5215  766 ESS PKP","JBPHH","","Wayfinding Signage","true","https://sam.gov/workspace/contract/opp/c14a30d0c5fe4df98a4df82904e6182b/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c14a30d0c5fe4df98a4df82904e6182b"
